Title,Link,Published Date
"Vegan oder Fleisch? Warum der Kampf ums Essen so verbissen geführt wird","https://www.derstandard.at/story/3000000203318/vegan-oder-fleisch-warum-der-kampf-ums-essen-so-verbissen-gefuehrt-wird?ref=rss","Sun, 21 Jan 2024 12:54:27 Z"
"Demo gegen rechts in München wegen hohen Andrangs abgebrochen","https://www.derstandard.at/story/3000000204025/veranstalter-etwa-200000-menschen-bei-demo-gegen-rechts-in-m252nchen?ref=rss","Sun, 21 Jan 2024 14:09:36 Z"
"""Systemparteien"", ""Volksverrat"", ""Ketten brechen"" – Kickl und die Sprache der Nazis","https://www.derstandard.at/story/3000000203911/systemparteien-volksverrat-ketten-brechen-kickl-und-die-sprache-der-nazis?ref=rss","Sun, 21 Jan 2024 12:55:39 Z"
"ORF-Beitrag beschäftigt Verfassungsausschuss","https://www.derstandard.at/story/3000000203959/orf-beitrag-beschaeftigt-verfassungsausschuss?ref=rss","Sun, 21 Jan 2024 14:36:50 Z"
"Politik statt Protest: Antritt bei Europawahl wird für Lena Schilling kein Honiglecken","https://www.derstandard.at/story/3000000203991/politik-statt-protest-antritt-bei-europawahl-wird-fuer-lena-schilling-kein-honiglecken?ref=rss","Sun, 21 Jan 2024 13:39:27 Z"
"Rot oder schwarz? Welches Eichhörnchen das heimische ist","https://www.derstandard.at/story/3000000203855/rot-oder-schwarz-welches-eichhoernchen-das-heimische-ist?ref=rss","Sun, 21 Jan 2024 14:35:37 Z"
"Blut trächtiger Stuten als Wundermittel der Schweinezucht","https://www.derstandard.at/story/3000000203423/blut-traechtiger-stuten-als-wundermittel-der-schweinezucht?ref=rss","Sun, 21 Jan 2024 12:57:31 Z"
"Drachenfeuer: Laser soll ganze Drohnenschwärme abfangen können","https://www.derstandard.at/story/3000000203986/drachenfeuer-laser-soll-ganze-drohnenschwaerme-abfangen-koennen?ref=rss","Sun, 21 Jan 2024 13:38:28 Z"
"Internationale Kritik an Netanjahus Nein zur Zweistaatenlösung","https://www.derstandard.at/jetzt/livebericht/3000000203979/internationale-kritik-an-netanjahus-nein-zur-zweistaatenloesung?ref=rss","Sun, 21 Jan 2024 06:56:15 Z"
"Mindestens 25 Tote nach Beschuss der von Russland kontrollierten Stadt Donezk","https://www.derstandard.at/story/3000000203982/gasterminal-in-russland-in-brand-geraten?ref=rss","Sun, 21 Jan 2024 07:27:42 Z"
"Rechte Modellstadt? Wie FPÖ-Bürgermeister Rabl Wels umkrempelt","https://www.derstandard.at/story/3000000203914/rechte-modellstadt-wie-fpoe-mann-rabl-wels-umkrempelt?ref=rss","Sat, 20 Jan 2024 15:43:15 Z"
"Ist der selbsterklärte Volkskanzler in Wahrheit ein Kanzler der Reichen?","https://www.derstandard.at/story/3000000203901/ist-der-selbsterklaerte-volkskanzler-in-wahrheit-ein-kanzler-der-reichen?ref=rss","Sun, 21 Jan 2024 06:00:00 Z"
"Doppelmitgliedschaft mit Partei der Werteunion geht laut CDU nicht","https://www.derstandard.at/story/3000000204005/doppelmitgliedschaft-mit-partei-der-werteunion-geht-laut-cdu-nicht?ref=rss","Sun, 21 Jan 2024 11:23:12 Z"
"Musk verbreitet Verschwörungstheorie Rassisten wären in Wahrheit vom FBI","https://www.derstandard.at/story/3000000203990/musk-verbreitet-verschwoerungstheorie-rassisten-waeren-in-wahrheit-vom-fbi?ref=rss","Sun, 21 Jan 2024 14:59:31 Z"
"Tempo 30 funktioniert – wie Graz seit mehr als 30 Jahren beweist","https://www.derstandard.at/story/3000000203825/tempo-30-funktioniert-wie-graz-seit-mehr-als-30-jahren-beweist?ref=rss","Sun, 21 Jan 2024 11:33:08 Z"
"Die Frau, die viele bewundern, aber nur wenige wählen","https://www.derstandard.at/story/3000000203884/die-frau-die-viele-bewundern-aber-nur-wenige-waehlen?ref=rss","Sun, 21 Jan 2024 13:47:13 Z"
"Mobilfunk-Servicepauschale: Blechen ohne Gegenleistung","https://www.derstandard.at/story/3000000204018/mobilfunk-servicepauschale-blechen-ohne-gegenleistung?ref=rss","Sun, 21 Jan 2024 14:10:21 Z"
"Braucht (m)ein Roman eine Triggerwarnung?","https://www.derstandard.at/story/3000000203870/braucht-mein-roman-eine-triggerwarnung?ref=rss","Sun, 21 Jan 2024 06:56:30 Z"
"""Toxisch"", ""schizo"", ""Trauma"", ""Trigger""? Wider die Pathologisierung des Alltags","https://www.derstandard.at/story/3000000203891/toxisch-schizo-trauma-trigger-wider-die-pathologisierung-des-alltags?ref=rss","Sat, 20 Jan 2024 09:03:25 Z"
"Malerische ""Verwandlung"" zum Rieseninsekt im Akademietheater","https://www.derstandard.at/story/3000000204020/malerische-verwandlung-zum-rieseninsekt-im-akademietheater?ref=rss","Sun, 21 Jan 2024 14:07:35 Z"
"Tag 2 im Dschungel: Es menschelt zwischen Hate und krasser Liebe","https://www.derstandard.at/story/3000000203974/tag-2-im-dschungel-es-menschelt-zwischen-hate-und-krasser-liebe?ref=rss","Sun, 21 Jan 2024 10:15:13 Z"
